# Weight Table Information
#
#    Name:                        Supine
#    Time Stamp:                  Thu Sep  6 14:12:52 2018
#    Table Version:               2 (Variable Size)
#    Entry Size:                  0 bytes
#    Total Entries:               248
#    Number of Analog References: 3
#    Number of DSP Reference:     23
#    Description:                 
#
#               Analog Ref.            DSP Ref.                                                                                                                                                                                                                            
#
Entry  Channel  MCxA    MCyA    MCzA      MLzA       MLyA       MLzaA      MLyaA      MLxA       MLxaA      MRzA       MRxA       MRzaA      MRxaA      MRyA       MCzA       MRyaA      MCzaA      MCyA       GzxA       MCyaA      MCxA       MCxaA      GyyA       GzyA       GxxA       GyxA       
89     A86      -296    -797    798       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.007197   0.000000  -0.031597  -0.174185   0.404686  -0.060470  -0.385519   0.038537  -0.101780  -0.601157  -0.162395   1.438327 
90     A56      243     -799    824       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.114591   0.000000  -0.034756  -0.068524   0.466431  -0.026820   0.079539   0.038088  -0.077565  -0.336752   0.309540   0.936322 
91     A116     -149    -1059   538       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.153430   0.000000   0.011931  -0.204012   0.173076  -0.046154  -0.319694   0.037578  -0.279917  -0.822370  -0.050481   1.547486 
92     A151     927     638     -615      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.381459   0.000000  -0.021848   0.198121   0.206484   0.065667   0.448535   0.027308   0.278309   0.605194   1.128060  -1.276603 
93     A141     -708    900     64        0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.521635   0.000000  -0.016660   0.471423  -0.277363  -0.022195   0.612941  -0.104567  -0.625563   0.715373  -0.649857  -0.538688 
94     A120     796     302     -755      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.248725   0.000000   0.031635   0.045441  -0.212976   0.068453   0.280609   0.015399   0.141766   0.421245   0.927330  -1.046676 
95     A189     890     -836    -346      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.239545   0.000000  -0.044672  -0.183176   0.996915  -0.025642  -0.274392   0.095156  -0.111688  -0.602338   1.019747   0.279962 
96     A80      -477    968     -560      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.560196   0.000000  -0.014017   0.331478  -0.339762   0.016046   0.525446  -0.050054   0.230325  -0.145652  -0.239801  -0.739039 
97     A210     -43     -1158   96        0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.085977   0.000000   0.064433  -0.202690  -0.241199   0.012438  -0.229575   0.032823  -0.194527  -1.002861  -0.002474   1.465562 
98     A143     309     -1132   125       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.053441   0.000000   0.012529  -0.104270   0.180181  -0.019353  -0.197878   0.052143  -0.136452  -1.479129   0.455588   0.850862 
99     A113     -79     1130    -454      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.368771   0.000000  -0.033335   0.232834  -0.226564   0.032045   0.443211  -0.043864   0.400670   0.753464  -0.086963  -0.982642 
100    A27      828     309     756       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.101336   0.000000  -0.068904  -0.082088   0.565528   0.016310  -0.059974   0.027307  -0.076264   0.109599   0.462934  -0.119401 
101    A137     -1157   81      267       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.494583   0.000000   0.090137   0.422629  -1.123622   0.014105   0.636806  -0.094759  -0.180893  -0.028804  -0.934753   0.152561 
102    A135     -1008   -445    210       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.333683   0.000000   0.084864   0.316659  -0.883842   0.019599   0.323704  -0.062309  -0.220881  -0.411510  -0.860813  -0.258854 
103    A167     -928    696     345       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.338982   0.000000   0.038307   0.289113  -0.913309  -0.008405   0.399166  -0.093410  -0.133535   0.450192  -0.852012  -0.004738 
104    A75      -1116   18      -273      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.563851   0.000000   0.061259   0.466275  -0.717392  -0.000030   0.673180  -0.075369  -0.111737  -0.034228  -0.555398  -0.234049 
105    A240     986     -473    -399      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.418602   0.000000  -0.079835  -0.363004   1.207022  -0.013613  -0.416842   0.120841   0.393893  -0.405804   1.306440   0.188675 
106    A206     -973    715     373       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.395910   0.000000   0.041971   0.377770  -1.045832  -0.006044   0.465623  -0.119766  -0.230931   0.534539  -1.079634  -0.127876 
107    A107     -1051   509     -62       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.369836   0.000000   0.045790   0.369023  -0.818588   0.015206   0.409104  -0.092687  -0.085684   0.245690  -0.720214  -0.139853 
108    A130     37      1202    173       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.262895   0.000000  -0.027055   0.166121  -0.113527   0.042807   0.471872  -0.059049  -0.168199   0.663215   0.131527  -0.233737 
109    A100     538     945     208       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.140882   0.000000  -0.052129   0.000121   0.343291   0.012471  -0.013546   0.003437  -0.130233   0.600894   0.472618   0.067520 
110    A43      196     815     814       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.081599   0.000000  -0.026069  -0.023956   0.272254   0.031605   0.034635  -0.007146  -0.051310   0.310739   0.086111   0.105414 
111    A200     738     772     -334      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.121330   0.000000  -0.101159  -0.078080   0.760721  -0.019196  -0.099082   0.048183   0.155025   0.658173   1.088058  -0.244230 
112    A102     -914    -648    -85       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.617815   0.000000   0.076221   0.579605  -0.645996   0.007189   0.608053  -0.061294  -0.109862  -0.417397  -0.794691  -0.322562 
113    A132     -521    -1094   3         0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.470674   0.000000   0.056013   0.251651  -0.379951  -0.011512   0.383559  -0.014001   0.112993  -0.774551  -0.677548   0.054661 
114    A183     846     705     -383      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.225182   0.000000  -0.101524  -0.227512   0.813006  -0.014844  -0.182243   0.057643   0.210191   0.558543   1.098956  -0.196396 
115    A199     -551    -994    241       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.240988   0.000000   0.086698   0.195388  -0.538010   0.017260   0.214515  -0.024419  -0.058756  -0.847951  -0.973130   0.252551 
116    A122     -935    289     533       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.236098   0.000000  -0.002406   0.189910  -0.129128   0.003713   0.183162  -0.087217  -0.236965  -0.031544  -1.331384   0.040786 
117    A19      149     1       -1010     0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.547011   0.000000   0.073792   0.405137  -0.647206   0.036875   0.547997  -0.055639  -0.244541   0.191765  -0.125885  -0.780090 
118    A62      -602    258     831       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.032813   0.000000  -0.057692  -0.124145   0.363452  -0.027827   0.039279  -0.010994   0.126376  -0.070145  -0.468588   0.546591 
119    A21      -27     -552    -1005     0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.563795   0.000000   0.067971   0.435250  -0.649837  -0.029252   0.611792  -0.038474  -0.116475  -0.131167  -0.154791  -0.323510 
120    A229     -490    1139    132       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.410308   0.000000  -0.013546   0.187053  -0.585724   0.039790   0.492146  -0.113472  -0.247628   0.836680  -0.455782  -0.547488 
121    A84      146     -1015   672       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.568811   0.000000   0.009489  -0.564889   0.359196  -0.002006  -0.722825   0.059907  -0.179906  -0.694484   0.277761   1.238509 
122    A213     173     -1280   -52       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.067118   0.000000   0.019992  -0.260513   0.274808  -0.054337  -0.145767   0.080861   0.294362  -0.930381  -0.033609   0.889769 
123    A55      213     -755    778       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.057153   0.000000  -0.016397  -0.209737   0.357997   0.024196  -0.061406   0.018448  -0.160243  -0.400923   0.144888   0.770101 
124    A32      282     -552    982       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.067361   0.000000  -0.041132  -0.114300   0.496384  -0.003087  -0.166203   0.033891  -0.047898  -0.280566   0.253482   0.760893 
125    A85      -99     -972    735       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.048829   0.000000  -0.019878  -0.192645   0.401747  -0.048514  -0.301337   0.043961  -0.177117  -0.752680   0.042848   1.479738 
126    A146     14      1209    -221      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.553929   0.000000  -0.064698   0.443420   0.045660   0.015038   0.641982  -0.046164   0.260976   1.012280  -0.045843  -1.261804 
127    A58      -38     -749    882       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.124021   0.000000  -0.036750  -0.193532   0.530808  -0.019498  -0.317088   0.042978  -0.046708  -0.513771   0.122640   1.060518 
128    A60      388     345     -1010     0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.457679   0.000000   0.060258   0.324450  -0.602537   0.068702   0.481933  -0.039548  -0.087322   0.352063   0.204678  -1.002343 
129    A88      -621    -322    902       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.120600   0.000000  -0.048941   0.050913   0.423654  -0.058775   0.056075  -0.000903   0.004343  -0.339199  -0.601730   1.010361 
130    A79      656     -786    439       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.229566   0.000000  -0.044101  -0.169036   0.604281  -0.032893  -0.250975   0.044790  -0.538562  -0.566347   0.477701   0.821396 
131    A169     -618    1109    170       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.585473   0.000000  -0.050128   0.368109  -0.586078  -0.050228   0.508470  -0.073537   0.290944  -0.574984  -0.378748  -0.449397 
132    A54      -277    795     -820      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.278140   0.000000   0.006885   0.316436  -0.437122   0.020797   0.403987  -0.035201   0.220321   0.321252  -0.121137  -0.429223 
133    A203     -1130   -28     466       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.636841   0.000000   0.100552   0.545017  -1.304091   0.013150   0.717316  -0.116333  -0.386040  -0.094932  -1.314614   0.169787 
134    A145     4       1165    -219      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.312243   0.000000  -0.065667   0.214347   0.033624   0.021862   0.431848  -0.031357   0.238817   0.674975   0.122833  -1.324162 
135    A103     1012    411     20        0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.415619   0.000000  -0.085133  -0.356659   0.805518  -0.030157  -0.381495   0.077707   0.115914   0.255600   0.839943   0.393118 
136    A163     -987    -311    403       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.511435   0.000000   0.094282   0.473814  -0.983329   0.022300   0.577989  -0.090315  -0.301209  -0.328871  -1.128928   0.084515 
137    A139     1001    -551    -203      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.134093   0.000000  -0.067129  -0.165455   0.876162   0.006064  -0.100852   0.061730   0.126368  -0.433750   0.754731   0.065809 
138    A49      -1001   8       -503      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.186129   0.000000   0.054043   0.077047  -0.591120  -0.000500   0.181203  -0.047615  -0.062440   0.027855  -0.380157  -0.225319 
139    A166     -1021   442     385       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.281107   0.000000   0.058019   0.255885  -0.954744   0.029200   0.353819  -0.118442  -0.331709   0.241012  -1.080383  -0.071850 
140    A156     124     -1247   -47       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.293360   0.000000   0.028927  -0.161047   0.196869  -0.033786  -0.270035   0.069009   0.286720  -0.909217  -0.057828   0.551625 
141    A128     -103    1228    161       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.140322   0.000000  -0.022944   0.141103  -0.150014   0.041616   0.266011  -0.062304  -0.232062   0.785434   0.049047  -0.334160 
142    A68      110     989     594       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.060608   0.000000  -0.020987   0.076877   0.158831   0.050288   0.256994  -0.031793  -0.169633   0.450405   0.019637  -0.025029 
143    A159     -314    -1171   142       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.445953   0.000000   0.048703   0.268553  -0.149424   0.004445   0.313608   0.003064   0.056347  -0.835611  -0.646603   0.250245 
144    A236     900     526     -396      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.644839   0.000000  -0.114297  -0.533757   1.055245  -0.036709  -0.645229   0.100159   0.401254   0.442269   1.451747  -0.137850 
145    A161     776     824     -312      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.039817   0.000000  -0.093365   0.021868   0.726025  -0.006326  -0.033849   0.036193   0.081811   0.661362   0.984201  -0.293419 
146    A121     -944    13      557       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.170458   0.000000  -0.006025   0.130880  -0.110733  -0.032746   0.273023  -0.065681  -0.181183  -0.219320  -1.255976   0.539750 
147    A4       307     -30     1075      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.161238   0.000000  -0.062391  -0.113570   0.665094  -0.019616  -0.165611   0.055944   0.247963  -0.152141   0.469508   0.651505 
148    A61      650     33      -936      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.462364   0.000000   0.049191   0.296310  -0.385956   0.048772   0.588590  -0.015009  -0.045626   0.132544   0.524047  -0.700536 
149    A6       -82     -243    -1025     0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.469133   0.000000   0.070090   0.297912  -0.601096   0.006249   0.479061  -0.052344  -0.219821   0.002821  -0.293697  -0.413536 
150    A126     -316    1146    248       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.569179   0.000000  -0.026847   0.449808  -0.228464   0.053948   0.758255  -0.089008  -0.200080   0.724619  -0.269521  -0.466713 
151    A14      388     -265    981       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.204131   0.000000  -0.028784  -0.227963   0.411260   0.020210  -0.194232   0.027751   0.050739  -0.186171   0.183991   0.469292 
152    A94      220     -1125   -486      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.036110   0.000000   0.023020  -0.184980  -0.039176  -0.066723  -0.152329   0.058731   0.239691  -0.577259   0.205584   0.422206 
153    A15      -323    287     -1042     0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.319816   0.000000   0.046699   0.232547  -0.504074  -0.006800   0.365814  -0.031224  -0.031445   0.099623  -0.154448  -0.382092 
154    A193     -74     -995    94        0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.056999   0.000000   0.043339  -0.031582  -0.039421  -0.022169   0.035439   0.025541  -0.337032  -0.723427  -0.002952   1.161456 
155    A150     -694    -800    486       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.092739   0.000000   0.012784   0.027603  -0.085143  -0.062290  -0.156144  -0.010542  -0.345013  -0.726589  -0.857357   1.537837 
156    A227     81      1187    -122      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.523766   0.000000  -0.078273   0.504585   0.096298   0.007530   0.661256  -0.047984   0.356534   1.092919   0.070322  -1.467193 
157    A59      215     589     -935      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.569637   0.000000   0.039544   0.391811  -0.642640   0.037863   0.568656  -0.041881   0.009743   0.385866   0.022176  -0.856339 
158    A36      -179    -382    1104      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.406945   0.000000  -0.059138  -0.339990   0.703496  -0.045507  -0.413820   0.054418   0.173322  -0.340318   0.045133   1.041388 
159    A225     -495    1125    152       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.565873   0.000000  -0.065809   0.500692  -0.162904  -0.043148   0.694139  -0.118208  -0.657409   0.989723  -0.611403  -0.866819 
160    A195     -571    -1044   327       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.138814   0.000000   0.066542  -0.014434  -0.349592  -0.027088  -0.260366  -0.008984  -0.505112  -0.866231  -0.757102   1.519336 
161    A30      -632    525     -818      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.302908   0.000000   0.009256   0.254920  -0.034627  -0.004526   0.308632  -0.069940  -0.867689   0.353655  -0.376489  -0.616323 
162    A109     -803    876     -193      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.398905   0.000000  -0.001894   0.287662  -0.587804  -0.014682   0.313766  -0.058694   0.212795  -0.164108  -0.419046  -0.430701 
163    A172     73      1199    -115      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.254884   0.000000  -0.074443   0.213455  -0.014741   0.001945   0.385439  -0.033760   0.517489   0.877025   0.079300  -1.050012 
164    A108     986     -724    124       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.229430   0.000000  -0.057520  -0.308439   0.656841  -0.035833  -0.430305   0.082020   0.166506  -1.531433   0.824170   0.476780 
165    A81      238     -947    661       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.047854   0.000000  -0.003549  -0.065036   0.140777   0.002710  -0.065765   0.031195  -0.037852  -0.740442   0.254318   1.145091 
166    A171     57      1160    -110      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.567734   0.000000  -0.088621   0.507225   0.150835   0.009355   0.764133  -0.042797   0.247401   0.856416   0.148682  -1.527173 
167    A218     978     424     -422      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.420174   0.000000  -0.120759  -0.461900   1.131580  -0.037121  -0.432579   0.106458   0.420380   0.401956   1.430907  -0.147538 
168    A173     53      1171    -114      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.504364   0.000000  -0.084429   0.387797   0.117914   0.013688   0.529450  -0.038038   0.312387   0.909419   0.094195  -1.640921 
169    A201     -935    -574    398       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.731831   0.000000   0.102270   0.585502  -1.135000   0.005534   0.780006  -0.075500  -0.196323  -0.614827  -1.186180   0.499866 
170    A74      1026    213     259       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.158716   0.000000  -0.067307  -0.199147   0.749916   0.000042  -0.116454   0.044698  -0.000854   0.082541   0.547838   0.294781 
171    A29      777     -282    708       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.069737   0.000000  -0.053998   0.048760   0.468436   0.008596   0.089336   0.020383   0.022632  -0.261926   0.360315   0.424414 
172    A164     1107    29      -449      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.322096   0.000000  -0.094381  -0.413886   1.139730  -0.016234  -0.291703   0.098068   0.323382   0.060827   1.134460  -0.121300 
173    A205     -1080   487     426       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.460411   0.000000   0.053819   0.509626  -1.250102   0.007697   0.593041  -0.137001  -0.295206   0.287217  -1.214938   0.085773 
174    A232     141     -1180   -30       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.245374   0.000000   0.027723   0.243612   0.266497  -0.030102   0.246215   0.059680   0.238295  -0.954379  -0.095027   0.594416 
175    A69      234     1037    626       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.042238   0.000000  -0.031572   0.122214   0.217424   0.039312   0.152941  -0.023939  -0.210280   0.534453   0.120838   0.081672 
176    A157     -145    1242    27        0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.152979   0.000000  -0.022090   0.214782  -0.285148   0.030521   0.372039  -0.068865  -0.175292   0.786884   0.071498  -0.388515 
177    A97      -25     -1207   -419      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.043120   0.000000   0.032636  -0.008709   0.014763  -0.034744  -0.073902   0.034297   0.178879  -0.669139  -0.152068   0.059281 
178    A217     887     710     -389      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.415649   0.000000  -0.119308  -0.296337   0.968557  -0.033479  -0.434335   0.081804   0.287927   0.603255   1.375815  -0.200602 
179    A101     -725    -814    -134      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.610394   0.000000   0.064120   0.492117  -0.460815  -0.000214   0.590540  -0.045917  -0.026169  -0.524643  -0.665933  -0.271811 
180    A124     -764    872     449       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.221650   0.000000   0.000512   0.089929  -0.250399   0.039110   0.309065  -0.093549  -0.232363   0.357109  -0.913126  -0.349823 
181    A40      52      -770    -859      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.345936   0.000000   0.051802   0.197559  -0.458724  -0.043015   0.319667  -0.007949   0.015067  -0.227604  -0.058275  -0.066127 
182    A123     883     -583    -501      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.062518   0.000000  -0.001890  -0.088802   0.334914  -0.016867   0.047215   0.079882   0.163167  -0.277539   1.117526   0.136643 
183    A153     533     -1085   -227      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.065774   0.000000   0.004320  -0.143261   0.445751  -0.048454  -0.163937   0.090221   0.225991  -0.618107   0.559613   0.533131 
184    A178     -430    1200    189       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.407252   0.000000  -0.018874   0.246581  -0.450923   0.058167   0.676084  -0.107250  -0.211079   0.836441  -0.352610  -0.488392 
185    A1       381     6       971       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.193353   0.000000  -0.027822  -0.204558   0.391156   0.026860  -0.221932   0.021966   0.073679  -0.005334   0.142945   0.328292 
186    A179     -159    1211    35        0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.186372   0.000000  -0.029074  -0.061362  -0.260016   0.055021   0.209342  -0.068803  -0.153912   0.913127   0.021653  -0.566249 
187    A33      -261    518     -842      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.406316   0.000000   0.038706   0.331206  -0.466357   0.033195   0.536815  -0.051252  -0.042769   0.317834  -0.283485  -0.703173 
188    A147     -19     -1221   226       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.213075   0.000000   0.045042  -0.301108   0.045421  -0.014468  -0.378498   0.043184  -0.375477  -0.836653   0.088071   1.330695 
189    A117     402     1073    -683      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.520471   0.000000  -0.017175   0.298440  -0.146381   0.069497   0.574087  -0.024250   0.270141   0.702380   0.361870  -1.375559 
