# Weight Table Information
#
#    Name:                        Supine
#    Time Stamp:                  Thu Sep  6 14:12:52 2018
#    Table Version:               2 (Variable Size)
#    Entry Size:                  0 bytes
#    Total Entries:               248
#    Number of Analog References: 3
#    Number of DSP Reference:     23
#    Description:                 
#
#               Analog Ref.            DSP Ref.                                                                                                                                                                                                                            
#
Entry  Channel  MCxA    MCyA    MCzA      MLzA       MLyA       MLzaA      MLyaA      MLxA       MLxaA      MRzA       MRxA       MRzaA      MRxaA      MRyA       MCzA       MRyaA      MCzaA      MCyA       GzxA       MCyaA      MCxA       MCxaA      GyyA       GzyA       GxxA       GyxA       
21     A191     -499    1133    127       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.525469   0.000000  -0.047918   0.456145  -0.200863  -0.025901   0.676084  -0.105589  -0.420941   0.994047  -0.598032  -0.832832 
22     A37      412     30      -1021     0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.336613   0.000000   0.077911   0.300728  -0.604543   0.060075   0.505334  -0.039542  -0.160950   0.239207   0.167300  -0.869938 
23     A170     322     -1005   -71       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.084814   0.000000  -0.009765  -0.031247   0.670657  -0.027845  -0.077236   0.017070  -1.209025  -0.605885   0.311058   0.516549 
24     A207     837     -951    -308      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.176538   0.000000  -0.026507  -0.237563   0.779158  -0.018588  -0.254671   0.104086   0.240424  -1.455673   1.035153   0.448161 
25     A112     189     -1143   483       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.044921   0.000000   0.013663  -0.107766   0.046953   0.008198  -0.182986   0.034026  -0.141548  -0.867980   0.244508   1.195847 
26     A224     -730    1028    250       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.469485   0.000000  -0.033441   0.306236  -0.828841  -0.059295   0.330219  -0.089126   0.139038  -0.270508  -0.613291  -0.380125 
27     A82      -155    1018    -657      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.530735   0.000000  -0.013425   0.371038  -0.346738   0.045039   0.585997  -0.051234   0.284704   0.571359  -0.159373  -0.895466 
28     A238     1095    18      -467      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.075257   0.000000  -0.134685  -0.187376   1.369002  -0.021669  -0.101194   0.105424   0.304477  -0.044960   1.493015  -0.584776 
29     A202     -1024   -285    448       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.555172   0.000000   0.103673   0.485345  -1.147182   0.019979   0.537305  -0.093707  -0.378323  -0.385627  -1.248181   0.322749 
30     A220     -1127   117     457       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.451573   0.000000   0.077468   0.406650  -1.404432   0.017793   0.530348  -0.104864  -0.337132  -0.080592  -1.066283  -0.200726 
31     A28      780     4       697       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.101850   0.000000  -0.050394  -0.112352   0.453006  -0.004608  -0.060953   0.036574   0.074836  -0.104887   0.408296   0.546226 
32     A239     -1118   237     455       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.481476   0.000000   0.097459   0.422473  -1.398514   0.012165   0.487276  -0.130104  -0.441215   0.132710  -1.405553   0.107304 
33     A13      -607    244     -889      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.514702   0.000000   0.021322   0.377594  -0.369290   0.002040   0.507249  -0.056716  -0.128267   0.185880  -0.331844  -0.513997 
34     A165     1124    -234    -441      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.018252   0.000000  -0.087181  -0.054933   1.157935  -0.013693  -0.052940   0.087279   0.266917  -0.147280   1.033126  -0.106310 
35     A204     1078    -236    -452      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.102866   0.000000  -0.106054  -0.063768   1.195163  -0.029555   0.065203   0.095791   0.371768  -0.196035   1.248218   0.036307 
36     A233     144     -1190   -49       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.180701   0.000000   0.027776   0.200208   0.237001  -0.028403   0.201139   0.062799   0.272138  -0.899948  -0.067945   0.540871 
37     A98      122     1108    389       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.066632   0.000000  -0.026822   0.092638   0.082170   0.036282   0.065074  -0.031370  -0.252510   0.599341   0.140230   0.033444 
38     A25      -351    -563    -874      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.260787   0.000000   0.037782   0.219963  -0.376636  -0.028138   0.247495  -0.022355   0.028352  -0.226202  -0.168764  -0.342312 
39     A70      -433    -924    -502      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.513112   0.000000   0.036921   0.335918  -0.273902  -0.039453   0.527724  -0.010936   0.144516  -0.472111  -0.329491  -0.094553 
